"id","name","type","platform","genres","developer","publisher","release_date","release_precision","release_year","release_month","release_day","main_story_polled","main_story","main_plus_sides_polled","main_plus_sides","completionist_polled","completionist","all_styles_polled","all_styles","single_player_polled","single_player","co_op_polled","co_op","versus_polled","versus"
"24066","Super Dimension Fortress Macross: Scrambled Valkyrie","game","Super Nintendo","Shooter","Winkysoft","Zamuse","1993-00-00","day","1993","0","0","7","0.96","","","1","1.1","8","1.0","7","0.96","","","",""
"24067","Sonic Blast Man","game","Super Nintendo","Beat Em Up","Taito","Taito","1990-00-00","day","1990","0","0","10","1.51","","","","","10","1.51","10","1.51","","","",""
"24068","Racing Lagoon","game","PlayStation","Driving, Racing, Role-Playing","Square Product Development Division 2","Square","1999-06-10","day","1999","6","10","2","32.02","10","33.74","","","12","33.44","2","32.02","","","",""
"24071","Mahjong Royal Towers","game","PC, PlayStation 4, PlayStation Vita","Board Game","Creobit","8floor","2019-10-22","day","2019","10","22","","","1","13.22","","","1","13.22","","","","","",""
"24074","The Next Penelope: Race to Odysseus","game","Nintendo Switch, PC","Car Combat, Driving, Racing, Shooter, Top-Down","Aurelien Regard","Plug In Digital","2015-01-22","day","2015","1","22","12","3.11","9","4.09","2","5.02","23","3.58","12","3.11","","","",""
"24075","Gunlok","game","PC","Action, Adventure","Rebellion Developments","Virgin Interactive","2000-00-00","day","2000","0","0","1","12.83","","","1","44.25","2","28.54","1","12.83","","","",""
"24076","Screamer 4x4","game","PC","Driving, Racing","Clever's Development","Titus Software, Virgin Interactive","2001-12-03","day","2001","12","3","3","8.91","","","","","3","8.91","3","8.91","","","",""
"24079","Crime Cities","game","PC","","Techland","EON Digital","2000-01-31","day","2000","1","31","1","13.9","","","1","17.75","2","15.82","1","13.9","","","",""
"24080","Monkey Magic","game","","","Nintendo R&D1","Nintendo","1979-00-00","day","1979","0","0","1","12.0","","","","","1","12.0","1","12.0","","","",""
"24081","YoYo's Puzzle Park","game","","Platform","Irem","JVC Digital Studios","1999-04-00","day","1999","4","0","1","5.0","","","","","1","5.0","1","5.0","","","",""
"24084","Roommates","game","Nintendo Switch, PC, PlayStation 4, PlayStation Vita, Xbox One","Visual Novel","Winter Wolves","Winter Wolves","2014-02-12","day","2014","2","12","11","4.84","2","9.08","6","12.59","19","7.12","11","4.84","","","",""
"24086","Lucius II","game","PC","Survival Horror","Shiver Games","Shiver Games","2015-02-13","day","2015","2","13","22","6.21","12","9.68","10","10.78","44","8.16","22","6.21","","","",""
