"id","name","type","platform","genres","developer","publisher","release_date","release_precision","release_year","release_month","release_day","main_story_polled","main_story","main_plus_sides_polled","main_plus_sides","completionist_polled","completionist","all_styles_polled","all_styles","single_player_polled","single_player","co_op_polled","co_op","versus_polled","versus"
"1","688(I) Hunter/Killer","game","PC","Simulation, Strategy/Tactical","Sonalysts","Electronic Arts","1997-07-04","day","1997","7","4","8","10.88","5","24.18","2","44.28","15","15.93","8","10.88","","","",""
"18","'Splosion Man","game","Xbox 360","Action","Twisted Pixel Games","Microsoft Games Studios","2009-07-22","day","2009","7","22","32","7.8","23","9.47","7","17.62","62","8.76","32","7.8","1","9.0","",""
"19",".hack//G.U. Vol. 1: Rebirth","game","Nintendo Switch, PC, PlayStation 2, PlayStation 4","Action, Role-Playing","CyberConnect2","Bandai","2006-05-18","day","2006","5","18","76","18.52","80","23.85","25","36.53","181","23.41","76","18.52","","","",""
"20",".hack//G.U. Vol. 2: Reminisce","game","Nintendo Switch, PC, PlayStation 2, PlayStation 4","Action, Role-Playing","CyberConnect2","Bandai","2006-09-28","day","2006","9","28","41","19.82","31","29.8","16","46.38","88","26.62","41","19.82","","","",""
"21",".hack//G.U. Vol. 3: Redemption","game","Nintendo Switch, PC, PlayStation 2, PlayStation 4","Action, Role-Playing","CyberConnect2","Bandai","2007-01-18","day","2007","1","18","34","21.05","27","30.43","8","47.28","69","26.95","34","21.05","","","",""
"22",".hack//Infection","game","Emulated, PlayStation 2","Action, Role-Playing","CyberConnect2 Co., Ltd.","Bandai S.A.","2003-02-11","day","2003","2","11","67","17.01","77","20.32","29","29.24","173","20.14","67","17.01","","","",""
"23",".hack//Link","game","PlayStation Portable","Role-Playing","CyberConnect2","Namco Bandai Games","2010-03-04","day","2010","3","4","1","28.9","3","39.08","1","49.0","5","39.24","1","28.9","","","",""
"24",".hack//Mutation","game","Emulated, PlayStation 2","Action, Role-Playing","CyberConnect2","Bandai Games","2002-09-09","day","2002","9","9","26","15.09","40","20.6","18","30.1","84","20.71","26","15.09","","","",""
"25",".hack//Outbreak","game","Emulated, PlayStation 2","Action Rpg","CyberConnect2","Bandai","2002-12-12","day","2002","12","12","22","17.15","28","21.51","11","23.81","61","20.37","22","17.15","","","",""
"26",".hack//Quarantine","game","PlayStation 2","","CyberConnect2","Bandai","2003-04-10","day","2003","4","10","17","15.73","28","20.38","6","26.28","51","20.02","17","15.73","","","",""
"27","007 Legends","game","PC, PlayStation 3, Wii U, Xbox 360","First-Person, Shooter","Eurocom","Activision","2012-10-16","day","2012","10","16","62","6.46","20","8.21","7","9.69","89","7.12","62","6.46","","","",""
"28","007 Legends: Skyfall DLC","dlc/expansion","PC, PlayStation 3, Wii U, Xbox 360","First-Person, Shooter","Eurocom","Activision","2012-11-09","day","2012","11","9","7","0.33","1","0.41","2","0.49","10","0.43","7","0.33","","","",""
"29","007 Racing","game","PlayStation","Driving, Racing","Eutechnyx","Electronic Arts","2000-11-20","day","2000","11","20","12","3.0","2","3.01","","","14","3.01","12","3.0","","","",""
"30","007: Licence to Kill","game","Amiga, Amstrad CPC, Atari ST, BBC Micro, Commodore 64, MSX, PC, ZX Spectrum","Shooter, Top-Down","Quixel","Domark","1989-04-20","day","1989","4","20","1","0.8","1","3.0","","","2","1.9","1","0.8","","","",""
"32","1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby)","game","PC","Music","Dejobaan Games","Dejobaan Games","2011-04-01","day","2011","4","1","4","1.0","","","9","1.2","13","1.18","4","1.0","","","",""
"33","GO Series: 10 Second Run","game","Nintendo 3DS, Nintendo DS","Platform","GAMEBRIDGE","","2010-09-20","day","2010","9","20","2","1.33","3","3.17","2","4.19","7","2.8","2","1.33","","","",""
"34","10-Yard Fight","game","Arcade, MSX, NES, Nintendo Switch, PlayStation 4","Sports","Irem","Irem, Nintendo of America","1985-08-30","day","1985","8","30","9","0.74","3","1.18","12","1.68","24","1.25","9","0.74","","","",""
"35","100 All-Time Favorites","game","","Card Game, Puzzle","","Ubisoft","0000-00-00","day","0","0","0","","","1","15.28","","","1","15.28","","","","","",""
"37","1000 Amps","game","PC","Adventure, Platform, Puzzle","Brandon Brizzi","Brandon Brizzi","2012-02-22","day","2012","2","22","14","4.08","13","4.74","28","5.39","55","5.02","14","4.08","","","",""
"38","10000000","game","Mobile, PC","Puzzle, Role-Playing","EightyEight Games","EightyEight Games","2012-08-29","day","2012","8","29","131","6.11","78","7.62","123","9.34","332","7.55","131","6.11","","","",""
"39","101-in-1 Explosive Megamix","game","Nintendo DS, Wii","Party","Nordcurrent","Atlus","2008-11-28","day","2008","11","28","1","1.35","1","2.67","2","14.14","4","6.78","1","1.35","","","",""
"40","102 Dalmatians: Puppies to the Rescue","game","Dreamcast, Game Boy Color, PC, PlayStation","Action","Crystal Dynamics, Toys for Bob","Eidos Interactive","2000-11-15","day","2000","11","15","19","4.87","13","6.85","20","7.91","52","6.34","19","4.87","","","",""
"41","1080 Snowboarding","game","Nintendo 64, Wii, Wii U","Driving, Racing","Nintendo EAD","Nintendo","1998-02-28","day","1998","2","28","37","2.79","11","8.69","11","12.41","59","4.56","37","2.79","","","",""
"42","1080° Avalanche","game","Nintendo GameCube","Arcade, Sports","NST","Nintendo","2003-12-01","day","2003","12","1","19","2.26","5","9.0","10","9.89","34","4.98","19","2.26","","","1","10.0"
"46","15 Days","game","PC","Adventure, Role-Playing","House of Tales Entertainment","Lace Mamba Global, dtp entertainment","2010-06-25","day","2010","6","25","8","7.25","2","8.49","2","12.27","12","7.9","8","7.25","","","",""
"48","18 Wheeler: American Pro Trucker","game","Dreamcast, Nintendo GameCube, PlayStation 2","Action, Driving, Racing","Sega-AM2","Sega, Acclaim","2000-10-12","day","2000","10","12","17","0.83","2","1.65","4","1.66","23","1.03","17","0.83","","","1","1.0"
"50","18 Wheels of Steel: American Long Haul","game","PC","Simulation","SCS Software","ValuSoft","2007-12-03","day","2007","12","3","2","20.93","2","25.0","2","223.95","6","56.69","2","20.93","","","",""
"51","1916 - Der unbekannte Krieg","game","Browser, PC","Action, Adventure","DADIU","DADIU","0000-00-00","day","0","0","0","2","0.11","1","0.31","1","0.42","4","0.23","2","0.11","","","",""
"52","1924","game","Browser","Action, Platform","","","0000-00-00","day","0","0","0","5","0.13","1","0.15","","","6","0.14","5","0.13","","","",""
"54","1942","game","Amstrad CPC, Arcade, Commodore 64, FM-7, Game Boy Color, MSX, NEC PC-88, NES, Sharp X1, ZX Spectrum","Scrolling, Shooter, Top-Down","Capcom","Capcom","1984-12-00","day","1984","12","0","51","1.8","4","2.56","10","2.88","65","1.98","51","1.8","","","",""
"55","1942: Joint Strike","game","PlayStation 3, Xbox 360","Vertical Scrolling Shooter","Backbone Entertainment","Capcom","2008-07-23","day","2008","7","23","8","1.05","","","","","8","1.05","8","1.05","","","",""
"56","1943: The Battle of Midway","game","Amiga, Amstrad CPC, Arcade, Atari ST, Commodore 64, NES, PC, TurboGrafx-16, ZX Spectrum","Arcade, Scrolling, Top-Down","Capcom","Capcom","1987-06-00","day","1987","6","0","68","1.14","2","1.51","5","2.1","75","1.17","68","1.14","","","",""
"57","1944: The Loop Master","game","Arcade, Nintendo Switch","Scrolling, Shooter","8ing/Raizing","Capcom","2000-06-20","day","2000","6","20","32","0.75","1","0.82","","","33","0.81","32","0.75","2","1.02","",""
"58","1991 Du Ma Racing","game","NES","Sports","Idea-Tek","Super Mega","1991-00-00","day","1991","0","0","","","1","0.17","","","1","0.17","","","","","",""
"59","19XX: The War Against Destiny","game","Arcade, Emulated, Nintendo Switch","Scrolling, Shooter","Capcom","Capcom","1995-12-18","day","1995","12","18","30","0.62","2","2.25","1","4.2","33","0.73","30","0.62","2","0.47","",""
"60","2010 FIFA World Cup South Africa","sports","PlayStation 3, PlayStation Portable, Wii, Xbox 360","Sports","EA Canada, HB Studios","EA Sports","2010-04-27","day","2010","4","27","11","16.52","4","19.06","2","30.0","17","17.85","11","16.52","1","25.0","",""
"61","24: The Game","game","PlayStation 2","Action, Adventure","SCE Studio Cambridge","2K Games, Sony Computer Entertainment","2006-02-27","day","2006","2","27","12","10.86","2","14.0","","","14","11.1","12","10.86","","","",""
"62","25 To Life","game","PC, PlayStation 2, Xbox","Third-Person Shooter","Avalanche Software, Ritual Entertainment","Eidos Interactive","2006-01-17","day","2006","1","17","21","4.37","5","4.74","2","6.57","28","4.77","21","4.37","","","",""
"63","3 on 3 NHL Arcade","game","PlayStation 3, Xbox 360","Sports","EA Canada","EA Sports","2009-02-11","day","2009","2","11","5","1.12","1","1.78","8","2.34","14","2.05","5","1.12","","","",""
"65","3-D WorldRunner","game","NES","On-Rails, Shooter, Third-Person","Square","DOG, Acclaim","1987-03-12","day","1987","3","12","7","1.25","2","1.9","1","3.0","10","1.85","7","1.25","","","",""
"66","3079","game","PC","Action, First-Person, Open World, Role-Playing, Shooter","phr00t","","2011-00-00","day","2011","0","0","1","3.1","1","3.42","1","3.58","3","3.39","1","3.1","","","",""
"69","3D Dot Game Heroes","game","PlayStation 3","Action, Adventure","Silicon Studio","Atlus","2009-11-05","day","2009","11","5","34","15.82","71","21.81","6","29.1","111","20.14","34","15.82","","","",""
"71","3D Ultra MiniGolf Adventures","game","PC, Xbox 360","Sports","Wanako Studios","Sierra On-Line","2007-04-18","day","2007","4","18","5","4.01","2","4.42","3","4.43","10","4.17","5","4.01","1","2.0","1","2.0"
"72","3D Ultra MiniGolf Adventures 2","game","","Sports","Wanako Studios","Sierra On-Line","2006-12-20","day","2006","12","20","","","","","1","20.0","1","20.0","","","","","",""
"74","3rd Super Robot Wars Alpha: To the End of the Galaxy","game","PlayStation 2","","Banpresto","Banpresto","2005-07-28","day","2005","7","28","2","74.57","","","","","2","74.57","2","74.57","","","",""
"75","3SwitcheD","game","PC","","Reality Pump","Topware Interactive","2012-03-29","day","2012","3","29","3","0.74","","","1","3.28","4","1.24","3","0.74","","","",""
"76","3Xtreme","game","PlayStation","Sports","989 Sports","989 Sports","1999-04-21","day","1999","4","21","3","1.06","4","4.44","","","7","3.38","3","1.06","","","",""
"77","4 Elements","game","Nintendo 3DS, Nintendo DS, PC, PlayStation 3","Adventure, Puzzle","Playrix Entertainment","Playrix Entertainment","2008-09-03","day","2008","9","3","23","8.02","9","9.85","36","10.34","68","9.39","23","8.02","","","",""
"78","4 Wheel Drive","game","","Driving, First-Person, Racing","IDL Group","Gremlin Graphics","1994-00-00","day","1994","0","0","1","0.67","","","","","1","0.67","1","0.67","","","",""
"79","40 Winks","game","Nintendo 64, PC, PlayStation","Platform","Eurocom","GT Interactive","1999-11-00","day","1999","11","0","5","7.53","3","9.43","7","10.52","15","9.74","5","7.53","","","",""
"80","400 Years","game","Browser, PC","Puzzle","Scriptwelder","","0000-00-00","day","0","0","0","7","0.33","2","0.65","","","9","0.38","7","0.33","","","",""
"83","4x4 Hummer","game","PC","Driving, Racing","Avalon Style Entertainment","505 Games, 1C Company","2008-04-04","day","2008","4","4","1","7.0","","","","","1","7.0","1","7.0","","","",""
"84","5 Days a Stranger","game","PC","Adventure","Ben ""Yahtzee"" Croshaw","Ben ""Yahtzee"" Croshaw","2003-09-29","day","2003","9","29","11","2.78","","","4","5.1","15","3.26","11","2.78","","","",""
"85","50 Cent: Blood on the Sand","game","PlayStation 3, Xbox 360","Shooter, Third-Person","Swordfish Studios","THQ","2009-02-20","day","2009","2","20","63","5.1","19","7.03","6","9.71","88","5.75","63","5.1","","","",""
"86","50 Cent: Bulletproof","game","PlayStation 2, PlayStation Portable, Xbox","Action","Genuine Games, Interscope, High Voltage Software","Sierra Entertainment, Vivendi Games","2005-11-17","day","2005","11","17","24","6.46","4","6.58","1","9.75","29","6.53","24","6.46","","","",""
"87","6 Day Assassin","game","PC","Adventure, Point-And-Click, Side","Mr Colossal","","2002-02-16","day","2002","2","16","3","0.22","1","0.23","","","4","0.23","3","0.22","","","",""
"88","6 Days a Sacrifice","game","PC","Adventure","Ben ""Yahtzee"" Croshaw","Ben ""Yahtzee"" Croshaw","2007-01-25","day","2007","1","25","6","2.85","","","4","2.96","10","2.95","6","2.85","","","",""
"89","6 Degrees of Sabotage","game","Browser","Interactive Art, Point-And-Click, Puzzle, Shooter, Top-Down","Lucas Pope","","2012-00-00","day","2012","0","0","3","0.18","","","2","0.29","5","0.2","3","0.18","","","",""
"90","60 Seconds Burger Run","game","Browser","Action","","","0000-00-00","day","0","0","0","6","0.09","1","0.12","2","0.64","9","0.13","6","0.09","","","",""
"91","60 Seconds Santa Run","game","","","","","0000-00-00","day","0","0","0","1","0.13","","","","","1","0.13","1","0.13","","","",""
"93","7 Days a Skeptic","game","PC","Adventure","Ben ""Yahtzee"" Croshaw","Ben ""Yahtzee"" Croshaw","2004-07-27","day","2004","7","27","6","2.98","","","3","2.99","9","2.93","6","2.98","","","",""
"94","7 Wonders: Magical Mystery Tour","game","PC","Puzzle","MumboJumbo","","2012-04-11","day","2012","4","11","3","4.96","6","5.3","5","6.75","14","6.21","3","4.96","","","",""
"95","7 Wonders II","game","Nintendo DS, PC","Puzzle","MumboJumbo","MumboJumbo","2008-06-10","day","2008","6","10","8","5.69","3","5.41","9","5.8","20","5.57","8","5.69","","","",""
"96","7 Wonders of the Ancient World","game","PC, PlayStation Portable","Puzzle","Hot Lava Games","MumboJumbo","2007-02-02","day","2007","2","2","18","4.17","5","4.23","5","7.29","28","4.89","18","4.17","","","",""
"97","7 Wonders: Ancient Alien Makeover","game","PC","Puzzle","MumboJumbo","MumboJumbo","2012-10-24","day","2012","10","24","10","5.76","12","8.07","21","11.56","43","9.18","10","5.76","","","",""
"98","7 Wonders: Treasures of Seven","game","Nintendo DS, PC","Puzzle","MumboJumbo","MumboJumbo","2008-10-24","day","2008","10","24","4","7.1","1","7.42","9","9.0","14","7.43","4","7.1","","","",""
"100","720 Degrees","game","Amstrad CPC, Arcade, Commodore 64, Game Boy Color, NES, ZX Spectrum","Sports","Atari Games","Atari Games","1986-12-00","day","1986","12","0","3","1.04","","","2","3.0","5","2.45","3","1.04","","","",""
"101","7th Dragon","game","Nintendo DS","Role-Playing","Sega AM1, imageepoch","Sega","2009-03-05","day","2009","3","5","4","34.53","4","50.46","3","83.7","11","51.09","4","34.53","","","",""
"102","7th Dragon 2020","game","PlayStation Portable","Role-Playing","Sega AM1, imageepoch","Sega","2011-11-23","day","2011","11","23","9","31.92","9","34.51","9","40.15","27","35.66","9","31.92","","","",""
"103","7th Dragon 2020-II","game","PlayStation Portable","Role-Playing","Imageepoch","Sega","2013-04-18","day","2013","4","18","2","43.3","7","43.32","3","44.53","12","43.2","2","43.3","","","",""
"104","8 Eyes","game","NES, PC","Platform","Thinking Rabbit","Taxan","1988-09-27","day","1988","9","27","11","2.33","3","3.87","2","6.58","16","2.78","11","2.33","1","5.0","",""
"105","8-Bit Commando","game","PC","Action, Platform, Shooter","2DEngine","","2011-07-09","day","2011","7","9","13","1.04","2","2.33","2","5.58","17","1.38","13","1.04","","","",""
"107","80 Days: Around the World Adventure","game","PC","Adventure","Frogwares","","2005-10-17","day","2005","10","17","3","8.11","1","11.0","1","12.4","5","10.88","3","8.11","","","",""
"108","8Ball Allstars","game","","Sports","Code Monkeys","Oxygen Games","2010-05-11","day","2010","5","11","","","","","1","8.17","1","8.17","","","","","",""
"110","99 Levels to Hell","game","PC","Action, Platform, Shooter","ZaxisGames","","2013-02-26","day","2013","2","26","4","8.8","2","11.03","5","22.26","11","15.64","4","8.8","","","",""
"111","999: Nine Hours, Nine Persons, Nine Doors","game","Mobile, Nintendo DS, PC, PlayStation 4, PlayStation Vita, Xbox One","Adventure, Puzzle, Visual Novel","Chunsoft","Spike, Aksys Games, Spike Chunsoft","2009-12-10","day","2009","12","10","323","9.69","228","17.02","608","20.46","1159","17.36","323","9.69","","","",""
"114","9:05","game","Browser, Mobile, PC","Adventure, Text","Adam Cadre","","2000-02-10","day","2000","2","10","2","0.23","2","0.31","","","4","0.27","2","0.23","","","",""
"115","9th Company: Roots of Terror","game","PC","Real-Time, Strategy","Noviy Disk, Lesta Studios","Strategy First","2009-12-03","day","2009","12","3","1","4.0","","","","","1","4.0","1","4.0","","","",""
"116","9th Dawn","game","PC","Action, Adventure, Role-Playing","Valorware","Valorware","2012-00-00","day","2012","0","0","","","1","15.75","","","1","15.75","","","","","",""
"117",":the game:","game","Browser","","","","0000-00-00","day","0","0","0","4","0.46","","","2","0.46","6","0.46","4","0.46","","","",""
"119","A Boy and His Blob","game","Nintendo Switch, PC, PlayStation 3, PlayStation 4, PlayStation Vita, Wii, Xbox One","Platform, Puzzle","WayForward Technologies","Majesco Games","2009-10-13","day","2009","10","13","19","9.65","20","11.03","34","17.66","73","13.42","19","9.65","","","",""
"120","A Boy and His Blob: Trouble on Blobolonia","game","NES","Platform, Puzzle","Imagineering","Absolute Entertainment, Jaleco, Majesco","1990-01-00","day","1990","1","0","6","0.86","4","2.34","7","2.4","17","1.91","6","0.86","","","",""
"121","A Bug's Life","game","Nintendo 64, PC, PlayStation","Platform","Traveller's Tales","Disney Interactive","1998-11-06","day","1998","11","6","24","5.3","17","10.45","16","12.1","57","8.01","24","5.3","","","",""
"122","A Collection of Activision Classic Games for the Atari 2600","compil","PlayStation","Various","Learning Technologies Interactive","Activision","1998-09-30","day","1998","9","30","1","3.0","","","","","1","3.0","1","3.0","","","",""
"124","A Duck Has An Adventure","game","Browser, PC","Adventure","E-merl","","0000-00-00","day","0","0","0","1","0.08","","","5","0.21","6","0.19","1","0.08","","","",""
"126","A Flipping Good Time","game","","Arcade, Platform","DigiPen Institute of Technology","DigiPen Institute of Technology","0000-00-00","day","0","0","0","","","","","1","3.4","1","3.4","","","","","",""
"127","A Game of Dwarves","game","PC","City-Building, Strategy","Zeal Game Studio","Paradox Interactive","2012-00-00","day","2012","0","0","1","35.0","2","35.5","2","68.5","5","44.8","1","35.0","","","",""
"128","A Game of Thrones: Genesis","game","PC","Strategy","Cyanide","Focus Home Interactive","2011-09-29","day","2011","9","29","5","10.2","2","19.27","3","61.51","10","20.65","5","10.2","","","",""
"130","A Hat in Time","game","Mac, Nintendo Switch, PC, PlayStation 4, Xbox One","Action, Adventure, Platform, Third-Person","Gears for Breakfast","Gears for Breakfast, Humble Bundle","2017-10-05","day","2017","10","5","526","9.43","671","15.05","412","19.05","1609","14.17","526","9.43","17","19.26","",""
"131","A Kingdom for Keflings","game","PC, Xbox 360, Xbox One","Simulation","NinjaBee","Microsoft Game Studios","2008-11-19","day","2008","11","19","13","5.81","6","13.53","9","29.75","28","11.24","13","5.81","1","6.5","",""
"132","A Mind Forever Voyaging","game","PC","Adventure, Text","Infocom","Infocom","1985-08-14","day","1985","8","14","1","5.67","","","","","1","5.67","1","5.67","","","",""
"134","A New Beginning","game","PC","Adventure, Point-And-Click","Daedalic Entertainment","Daedalic, Lace Mamba","2011-05-20","day","2011","5","20","106","9.73","24","9.89","92","10.73","222","10.17","106","9.73","","","",""
"136","A Nightmare on Elm Street","game","NES","Platform","Rare","LJN","1990-10-00","day","1990","10","0","7","2.13","3","2.18","3","3.75","13","2.31","7","2.13","1","4.5","",""
"137","A Space Shooter For Two Bucks!","game","PlayStation Portable","Shoot 'Em Up","Frima Studio Inc.","Frima Studio Inc.","2010-12-21","day","2010","12","21","2","5.45","1","9.4","1","20.0","4","8.89","2","5.45","","","",""
"138","A Stroke of Fate: Operation Valkyrie","game","PC","Adventure, Point-And-Click","SPLine","Akella","2009-02-13","day","2009","2","13","2","7.0","1","7.75","1","9.0","4","8.28","2","7.0","","","",""
"139","A Tale of Two Kingdoms","game","PC","Adventure","Crystal Shard","Crystal Shard","2007-07-15","day","2007","7","15","","","","","1","8.4","1","8.4","","","","","",""
"140","A Valley Without Wind","game","PC","Adventure, Role-Playing, Strategy","Arcen Games","Arcen Games","2012-04-23","day","2012","4","23","12","13.0","2","16.25","2","58.33","16","18.82","12","13.0","1","16.0","",""
"141","A Valley Without Wind 2","game","PC","Action, Adventure, Strategy","Arcen Games","Arcen Games","2013-02-18","day","2013","2","18","3","10.03","1","11.0","1","24.12","5","11.6","3","10.03","","","",""
"142","A Vampyre Story","game","PC","Adventure","Autumn Moon Entertainment","Crimson Cow, The Adventure Company","2008-11-21","day","2008","11","21","15","7.43","6","8.69","6","8.97","27","8.43","15","7.43","","","",""
"143","A Virus Named Tom","game","PC, PlayStation Vita","Action, Puzzle","Misfits Attic","Misfits Attic","2012-08-01","day","2012","8","1","36","4.12","13","11.07","3","26.88","52","5.7","36","4.12","1","4.0","",""
"144","A Walk in the Dark","game","PC, Xbox One","Platform","Flying Turtle Software","","2013-11-07","day","2013","11","7","6","4.03","6","6.04","2","10.19","14","5.36","6","4.03","","","",""
"145","A Witch's Tale","game","Nintendo DS","Role-Playing","Hit Maker","Nippon Ichi Software, NIS America","2009-05-28","day","2009","5","28","5","16.07","1","18.0","3","37.65","9","22.76","5","16.07","","","",""
"146","A World of Keflings","game","PC, Wii U, Xbox 360, Xbox One","Simulation","NinjaBee","Microsoft Studios","2010-12-22","day","2010","12","22","14","7.45","11","10.46","17","13.34","42","9.86","14","7.45","1","8.48","",""
"149","A.I.M. Racing","game","PC","Driving, Racing","SkyRiver Studios","1C Company","2010-01-22","day","2010","1","22","3","8.9","","","","","3","8.9","3","8.9","","","",""
"150","A.R.C. Squadron","game","","Action, Shooter","Psyonix Studios","","2012-11-01","day","2012","11","1","1","3.0","","","","","1","3.0","1","3.0","","","",""
"152","A.R.E.S.: Extinction Agenda","game","PC, Xbox 360","Action, Shooter","Extend Studio","ORiGO GAMES","2011-01-19","day","2011","1","19","78","2.38","31","3.46","9","10.33","118","2.98","78","2.38","","","",""
"153","AaAaAA!!! - A Reckless Disregard for Gravity","game","PC","First-Person, Simulation","Dejobaan Games","","2009-09-03","day","2009","9","3","11","4.63","12","5.8","4","18.51","27","6.92","11","4.63","","","",""
"154","AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome","game","Mobile, PC","Action, First-Person","Dejobaan Games","Dejobaan Games","2011-11-24","day","2011","11","24","10","3.07","11","5.4","4","15.39","25","6.09","10","3.07","","","",""
"156","Abadox: The Deadly Inner War","game","NES","Shoot 'Em Up","Natsume","Natsume, Milton Bradley","1989-12-15","day","1989","12","15","24","1.0","3","1.01","2","1.14","29","1.11","24","1.0","","","",""
"159","Abobo's Big Adventure","game","Browser, PC","Action, Adventure","I-Mockery","","2012-01-11","day","2012","1","11","13","1.73","6","2.32","","3.12","19","1.97","13","1.73","","","",""
"161","Abuse","game","PC","Action, Shooter","Crack dot Com","Electronic Arts, Red Hat, Bungie","1996-00-00","day","1996","0","0","2","5.5","","","","","2","5.5","2","5.5","","","",""
"162","Quake Mission Pack: Abyss Of Pandemonium","mod","PC","First-Person, Shooter","Cybermind, Impel Development Team","Perfect Publishing","1998-04-14","day","1998","4","14","2","5.21","","","1","7.0","3","6.4","2","5.21","","","",""
"163","Rock Band Track Pack: AC/DC Live","game","PlayStation 2, PlayStation 3, Wii, Xbox 360","","Harmonix Music Systems, Pi Studios","MTV Games","2008-11-02","day","2008","11","2","13","3.86","","","1","4.0","14","3.87","13","3.86","","","",""
"165","Ace Attorney Investigations: Miles Edgeworth","game","Mobile, Nintendo DS","Adventure","Capcom","Capcom","2009-05-28","day","2009","5","28","163","23.19","30","24.15","82","24.95","275","23.64","163","23.19","","","",""
"166","Ace Combat 04: Shattered Skies","game","PlayStation 2","Arcade, Simulation","Project Aces","Namco","2001-10-23","day","2001","10","23","134","4.21","32","7.98","10","25.1","176","5.64","134","4.21","1","5.0","",""
"167","Ace Combat 2","game","Emulated, PlayStation","Arcade, Combat Flight Simulator","Namco","Namco","1997-05-30","day","1997","5","30","67","2.6","21","4.8","5","12.8","93","3.31","67","2.6","","","",""
"168","Ace Combat 3: Electrosphere","game","PlayStation","Arcade","Namco","Namco, SCEE","1999-05-27","day","1999","5","27","51","3.91","18","13.03","12","14.14","81","6.31","51","3.91","","","",""
"169","Ace Combat 5: The Unsung War","game","PlayStation 2, PlayStation 4","Flight, Simulation, Vehicular Combat","Project Aces","Namco, SCEE","2004-10-21","day","2004","10","21","111","7.05","34","12.92","9","32.63","154","8.99","111","7.05","","","",""
"170","Ace Combat 6: Fires of Liberation","game","Xbox 360","Arcade","Project Aces","Namco Bandai Games","2007-10-23","day","2007","10","23","54","8.42","10","14.65","2","28.97","66","9.65","54","8.42","","","",""
"171","Ace Combat X: Skies of Deception","game","Emulated, PlayStation Portable","Arcade, Combat Flight Simulator","Access Games","Namco, Sony Computer Entertainment Europe (Europe only)","2006-10-24","day","2006","10","24","41","3.92","11","6.57","4","19.57","56","5.31","41","3.92","","","",""
"172","Ace Combat Zero: The Belkan War","game","PlayStation 2","Arcade","Project Aces","Namco Bandai","2006-03-23","day","2006","3","23","86","4.64","19","8.93","6","25.19","111","5.84","86","4.64","","","",""
"173","Ace Combat: Assault Horizon","game","PC, PlayStation 3, Xbox 360","Arcade","Project Aces","Namco Bandai Games","2011-10-11","day","2011","10","11","133","8.53","19","12.69","9","76.58","161","10.95","133","8.53","1","7.0","1","50.0"
"175","Ace Combat: Assault Horizon Legacy","game","Nintendo 3DS","Action","Project Aces","Namco Bandai Games","2011-11-15","day","2011","11","15","51","4.2","13","7.96","3","16.59","67","5.13","51","4.2","","","",""
"176","Ace Combat: Joint Assault","game","PlayStation Portable","Arcade, Combat Flight Simulator","Access Games","Namco Bandai Games","2010-08-26","day","2010","8","26","22","6.43","4","10.16","2","64.68","28","9.02","22","6.43","","","",""
"177","Ace of Aces","game","Amstrad CPC, Atari 7800, Atari 8-bit Family, Commodore 64, PC, Sega Master System, ZX Spectrum","Simulation","Artech Digital Entertainment","Accolade, U.S. Gold","1986-00-00","day","1986","0","0","","","","","1","2.5","1","2.5","","","","","",""
"178","Ace of Spades","multi","PC","First-Person, Sandbox, Shooter","Jagex Games Studio","Jagex Games Studio","2012-12-12","day","2012","12","12","3","9.38","","","1","36.53","4","13.39","3","9.38","","","9","15.48"
"179","Aces of the Pacific","game","","Flight Simulation","Dynamix","Sierra Entertainment","1992-00-00","day","1992","0","0","","","1","28.0","","","1","28.0","","","","","",""
"180","Achievement Unlocked","game","Browser, PC","Platform, Side","jmtb02","Armor Games","2008-12-17","day","2008","12","17","10","0.22","4","0.38","20","0.34","34","0.33","10","0.22","","","",""
"181","Achron","game","PC","Real-Time, Strategy","Hazardous Software","Hazardous Software","2011-08-29","day","2011","8","29","1","70.0","","","","","1","70.0","1","70.0","","","",""
"183","Acid Drop","game","Atari 2600","Puzzle","Dennis Kiss","Salu","1992-00-00","day","1992","0","0","1","0.44","2","0.88","","","3","0.59","1","0.44","","","",""
"185","Across Age DX","game","Mobile","Role-Playing","FDG Entertainment","FDG Entertainment","0000-00-00","day","0","0","0","","","1","13.87","","","1","13.87","","","","","",""
"186","Act of War: Direct Action","game","PC","Real-Time, Strategy","Eugen Systems","Atari","2005-03-15","day","2005","3","15","8","11.49","4","12.28","2","12.4","14","11.73","8","11.49","","","",""
"187","Action Bass","game","PlayStation","Sports","","Take-Two Interactive","0000-00-00","day","0","0","0","3","3.23","","","","","3","3.23","3","3.23","","","",""
"188","Action Fighter","game","Amstrad CPC, Arcade, Sega Master System","Driving, Racing, Shooter","Sega","Sega","1986-00-00","day","1986","0","0","6","1.35","","","","","6","1.35","6","1.35","","","",""
"191","ActRaiser","game","Mobile, Super Nintendo","Action, City-Building, Scrolling, Side, Simulation, Top-Down","Quintet","Enix, Square Enix","1990-12-16","day","1990","12","16","94","4.9","69","5.6","37","6.13","200","5.23","94","4.9","","","",""
"192","ActRaiser 2","game","Super Nintendo","Action, Platform, Scrolling, Side","Quintet","Ubisoft, Enix","1993-10-29","day","1993","10","29","26","4.04","","","1","4.46","27","4.05","26","4.04","","","",""
