"id","name","type","release_date","release_precision","release_year","release_month","release_day","main_story_polled","main_story","main_plus_sides_polled","main_plus_sides","completionist_polled","completionist","all_styles_polled","all_styles","single_player_polled","single_player","co_op_polled","co_op","versus_polled","versus"
"128172","Against All Odds(2023)","multiplayer focused","2023-05-04","day","2023.0","5.0","4.0","","","","","","","","","","","","","","1.0"
"129065","The Elder Scrolls Online: Necrom","multiplayer focused","2023-06-05","day","2023.0","6.0","5.0","1.0","7.92","2.0","21.53","1.0","24.0","4.0","18.75","1.0","7.92","","","",""
"129093","Starship Troopers: Extermination","multiplayer focused","2023-05-17","day","2023.0","5.0","17.0","","","","","","","","","","","","1.5","",""
"129232","Helldivers 2","multiplayer focused","2024-02-08","day","2024.0","2.0","8.0","","","","","","","","","","","67.0","80.0","2.0","31.0"
"129265","Foamstars","multiplayer focused","2024-02-06","day","2024.0","2.0","6.0","8.0","4.57","2.0","6.0","8.0","20.77","18.0","11.92","8.0","4.57","","","",""
"129271","Concord","multiplayer focused","2024-08-23","day","2024.0","8.0","23.0","","","","","","","","","","","","","","2.0"
"129788","Throne and Liberty","multiplayer focused","2024-09-17","day","2024.0","9.0","17.0","9.0","89.48","8.0","138.08","6.0","318.22","23.0","166.07","9.0","89.48","3.0","53.5","1.0","10.0"
"129821","Warhaven","multiplayer focused","2023-09-21","day","2023.0","9.0","21.0","","","","","","","","","","","","","","30.0"
"129825","The Matriarch","multiplayer focused","2022-09-26","day","2022.0","9.0","26.0","","","","","","","","","","","","4.5","",""
"129856","Ritual Night","multiplayer focused","2024","year","2024.0","","","","","","","","","","","","","","","","3.0"
"130128","Town of Salem II","multiplayer focused","2023-05-26","day","2023.0","5.0","26.0","","","","","","","","","","","","","","250.0"
"130968","My Hero Ultra Rumble","multiplayer focused","2023-09-28","day","2023.0","9.0","28.0","4.0","11.73","1.0","13.25","","","5.0","12.03","4.0","11.73","2.0","11.5","3.0","8.0"
"131857","Get Together: A Coop Adventure","multiplayer focused","2021-10-14","day","2021.0","10.0","14.0","1.0","1.0","1.0","2.0","1.0","3.0","3.0","2.0","1.0","1.0","","","",""
"132659","Backpack Battles","multiplayer focused","2024-04","month","2024.0","4.0","","","","","","","","","","","","","","","36.0"
"133635","HYENAS","multiplayer focused","2023","year","2023.0","","","","","","","","","","","","","","","","1.5"
"136855","One Piece: Bounty Rush","multiplayer focused","2019-01-31","day","2019.0","1.0","31.0","","","","","1.0","1.77","1.0","1.77","","","","","",""
"137666","Puzzle Compound","multiplayer focused","2023-05-25","day","2023.0","5.0","25.0","","","","","","","","","","","","4.5","",""
"137777","We Were Here Expeditions: The FriendShip","multiplayer focused","2023-09-14","day","2023.0","9.0","14.0","","","","","","","","","","","121.0","2.5","1.0","2.0"
"139793","Headbangers: Rhythm Royale","multiplayer focused","2023-10-31","day","2023.0","10.0","31.0","","","","","","","","","","","","","","3.0"
"140702","Bopl Battle","multiplayer focused","2023-11-16","day","2023.0","11.0","16.0","","","","","","","","","","","","30.0","",""
"141804","Bronzebeard's Tavern","multiplayer focused","2023-11-30","day","2023.0","11.0","30.0","","","","","","","","","","","","8.0","",""
"141868","Mecha BREAK","multiplayer focused","2025-07-01","day","2025.0","7.0","1.0","4.0","16.25","","","","","4.0","16.25","4.0","16.25","","","",""
"144197","Smite 2","multiplayer focused","2024","year","2024.0","","","","","","","","","","","","","","","","2.5"
"145876","Level Zero: Extraction","multiplayer focused","2024","year","2024.0","","","","","","","","","","","","","","","","3.5"
"146160","Kebab Chefs! - Restaurant Simulator","multiplayer focused","2024-01-19","day","2024.0","1.0","19.0","3.0","19.72","2.0","24.28","4.0","44.9","9.0","31.92","3.0","19.72","","","",""
